name|calories|protein|fat|sodium|fiber|carbo|sugars|potass|vitamins|shelf|cups|analysis_date|weekday|name_weekday|alk_con
Honey-comb|110|1|0|180|0.0|14.0|11|35|25|1|1.33|1987-04-09|3|Thursday|215
Just Right Crunchy  Nuggets|110|2|1|170|1.0|17.0|6|60|100|3|1.0|1987-04-09|3|Thursday|230
Just Right Fruit & Nut|140|3|1|170|2.0|20.0|9|95|100|3|0.75|1987-04-09|3|Thursday|265
Kix|110|2|1|260|0.0|21.0|3|40|25|2|1.5|1987-04-09|3|Thursday|300
Life|100|4|2|150|2.0|12.0|6|95|25|2|0.67|1987-04-09|3|Thursday|245
Lucky Charms|110|2|1|180|0.0|12.0|12|55|25|2|1.0|1987-04-09|3|Thursday|235
Maypo|100|4|1|0|0.0|16.0|3|95|25|2|1.0|1987-04-09|3|Thursday|95
Muesli Raisins; Dates; & Almonds|150|4|3|95|3.0|16.0|11|170|25|3|1.0|1987-04-07|1|Tuesday|265
Muesli Raisins; Peaches; & Pecans|150|4|3|150|3.0|16.0|11|170|25|3|1.0|1987-04-07|1|Tuesday|320
Mueslix Crispy Blend|160|3|2|150|3.0|17.0|13|160|25|3|0.67|1987-04-07|1|Tuesday|310
Multi-Grain Cheerios|100|2|1|220|2.0|15.0|6|90|25|1|1.0|1987-04-07|1|Tuesday|310
Nut&Honey Crunch|120|2|1|190|0.0|15.0|9|40|25|2|0.67|1987-04-07|1|Tuesday|230
Nutri-Grain Almond-Raisin|140|3|2|220|3.0|21.0|7|130|25|3|0.67|1987-04-07|1|Tuesday|350
Nutri-grain Wheat|90|3|0|170|3.0|18.0|2|90|25|3|1.0|1987-04-07|1|Tuesday|260
Oatmeal Raisin Crisp|130|3|2|170|1.5|13.5|10|120|25|3|0.5|1987-04-07|1|Tuesday|290
Post Nat. Raisin Bran|120|3|1|200|6.0|11.0|14|260|25|3|0.67|1987-04-10|4|Friday|460
Product 19|100|3|0|320|1.0|20.0|3|45|100|3|1.0|1987-04-06|0|Monday|365
Puffed Rice|50|1|0|0|0.0|13.0|3|15|0|3|1.0|1987-04-08|2|Wednesday|15
Puffed Wheat|50|2|0|0|1.0|10.0|3|50|0|3|1.0|1987-04-08|2|Wednesday|50
Quaker Oat Squares|100|4|1|135|2.0|14.0|6|110|25|3|0.5|1987-04-08|2|Wednesday|245
Ducks are Evil Cereal Mix|100|5|2|0|2.7|-1.0|-1|110|0|1|0.67|1987-04-08|2|Wednesday|110
Raisin Bran|120|3|1|210|5.0|14.0|12|240|25|2|0.75|1987-04-08|2|Wednesday|450
Raisin Nut Bran|100|3|2|140|2.5|10.5|8|140|25|3|0.5|1987-04-08|2|Wednesday|280
Raisin Squares|90|2|0|0|2.0|15.0|6|110|25|3|0.5|1987-04-08|2|Wednesday|110
Rice Chex|110|1|0|240|0.0|23.0|2|30|25|1|1.13|1987-04-08|2|Wednesday|270
Rice Krispies|110|2|0|290|0.0|22.0|3|35|25|1|1.0|1987-04-08|2|Wednesday|325
Shredded Wheat|80|2|0|0|3.0|16.0|3|95|0|1|1.0|1987-04-08|2|Wednesday|95
Shredded Wheat 'n'Bran|90|3|0|0|4.0|19.0|3|140|0|1|0.67|1987-04-08|2|Wednesday|140
Shredded Wheat spoon size|90|3|0|0|3.0|20.0|3|120|0|1|0.67|1987-04-08|2|Wednesday|120
Smacks|110|2|1|70|1.0|9.0|15|40|25|2|0.75|1987-04-09|3|Thursday|110
Special K|110|6|0|230|1.0|16.0|3|55|25|1|1.0|1987-04-09|3|Thursday|285
Strawberry Fruit Wheats|90|2|0|15|3.0|15.0|3|90|25|2|1.0|1987-04-09|3|Thursday|105
Total Corn Flakes|110|2|1|200|0.0|21.0|3|35|100|3|1.0|1987-04-09|3|Thursday|235
Total Raisin Bran|140|3|1|190|4.0|15.0|14|230|100|3|1.0|1987-04-09|3|Thursday|420
Total Whole Grain|100|3|1|200|3.0|16.0|3|110|100|3|1.0|1987-04-09|3|Thursday|310
Triples|110|2|1|250|0.0|21.0|3|60|25|3|0.75|1987-04-09|3|Thursday|310
Trix|110|1|1|140|0.0|13.0|12|25|25|2|1.0|1987-04-08|2|Wednesday|165
Wheat Chex|100|3|1|230|3.0|17.0|3|115|25|1|0.67|1987-04-08|2|Wednesday|345
Wheaties|100|3|1|200|3.0|17.0|3|110|25|1|1.0|1987-04-08|2|Wednesday|310
Wheaties Honey Gold|110|2|1|200|1.0|16.0|8|60|25|1|0.75|1987-04-07|1|Tuesday|260
