LotArea,LivingArea,NumberBedroom,TotalRooms,Neighborhood,YearBuilt,YearRemodAdd,YrSold,MoSold,KitchenQual,Condition1,OverallCond,SalePrice
15611,1919,3,8,CollgCr,2006,2006,2006,7,Gd,Norm,5,233230
11409,1716,3,8,Edwards,1949,2008,2009,1,TA,Norm,4,131000
13710,1558,4,6,IDOTRR,1950,1950,2007,6,TA,Norm,5,152000
14000,1152,3,6,Crawfor,1950,2004,2009,8,Gd,Norm,8,158500
15750,1336,2,5,Crawfor,1953,1953,2006,6,TA,Norm,5,157000
16226,2452,4,9,CollgCr,1998,1999,2007,5,Gd,Norm,5,267000
13704,1541,3,6,CollgCr,2001,2002,2006,1,Gd,Norm,5,205000
9800,894,3,5,CollgCr,1972,1972,2006,7,TA,Norm,7,149900
10386,2000,3,8,CollgCr,2004,2005,2007,7,Gd,Norm,5,305900
7920,1406,3,6,IDOTRR,1920,1950,2008,3,Fa,Artery,7,89500
12342,861,1,4,Edwards,1940,1950,2009,3,TA,Norm,5,82500
7685,1501,3,6,Gilbert,1993,1994,2006,5,Gd,Norm,5,165600
7795,1432,3,6,Gilbert,2004,2005,2009,7,Gd,Norm,5,188500
5000,803,2,5,IDOTRR,1941,1950,2007,12,TA,RRAe,6,87000
11888,2134,5,10,BrkSide,1916,1994,2009,7,Gd,PosN,6,214500
6402,1192,3,6,IDOTRR,1920,1950,2009,7,TA,Norm,5,78000
9042,1638,3,7,Gilbert,1998,1998,2008,7,TA,Norm,5,192000
9135,1536,3,7,CollgCr,2002,2003,2008,12,Gd,Norm,5,214000
6435,1577,3,6,BrkSide,1939,1950,2006,10,Fa,RRAn,5,140200
5271,1453,2,6,ClearCr,1986,1986,2006,12,Gd,Norm,5,190000
9084,1111,3,5,Edwards,1941,1950,2008,3,TA,Artery,6,95000
11249,1200,3,6,CollgCr,1995,1995,2007,8,Gd,Norm,5,177500
9248,1167,3,6,Gilbert,1992,1992,2009,7,Gd,Norm,6,173000
6930,1352,3,6,ClearCr,1958,1958,2006,7,Gd,Norm,4,130000
9144,1505,3,8,BrkSide,1940,1982,2008,7,TA,Norm,5,145000
7301,1922,4,7,Edwards,2003,2003,2009,7,Gd,Norm,5,198500
1680,987,2,5,BrDale,1972,2007,2009,5,Gd,Norm,8,118000
10690,1344,3,6,IDOTRR,1920,1997,2009,7,TA,Norm,7,147000
8121,1664,3,7,Gilbert,2000,2000,2006,1,TA,Norm,5,172400
17120,1588,4,7,ClearCr,1959,1959,2008,7,TA,Feedr,4,134432
8200,1928,4,8,CollgCr,2003,2004,2007,7,Gd,Norm,5,219500
10020,904,1,4,Edwards,1922,1950,2009,3,Fa,Norm,1,61000
8846,914,2,5,CollgCr,1996,1996,2006,7,TA,Norm,5,148000
8123,1800,3,7,Gilbert,2000,2000,2009,6,TA,RRAn,5,179000
9245,1797,3,8,CollgCr,2006,2006,2007,4,Gd,Norm,5,213500
53107,1953,3,9,ClearCr,1992,1992,2007,6,Gd,Feedr,5,240000
3182,1269,2,6,Blmngtn,2004,2005,2010,4,Gd,Norm,5,192000
8410,1184,5,8,Edwards,1910,1996,2006,5,TA,Feedr,3,81000
7200,1125,3,6,Edwards,1976,1976,2009,10,TA,Norm,6,125000
9382,1479,3,6,CollgCr,1999,2000,2008,7,Gd,Norm,5,191000
8405,1367,4,7,Edwards,1900,1950,2008,4,TA,Norm,8,119000
7446,788,2,4,BrkSide,1941,1950,2006,4,TA,Feedr,5,100000
9571,1144,3,6,Edwards,1956,1956,2010,6,TA,Norm,6,129000
7200,894,2,6,CollgCr,1972,1972,2009,9,TA,Norm,5,123000
8967,1077,2,6,IDOTRR,1920,1950,2007,11,TA,Norm,2,67000
8767,1310,3,6,CollgCr,2005,2005,2006,7,Gd,Norm,5,164990
10364,1572,3,7,Gilbert,1995,1996,2007,5,TA,Norm,5,168000
15576,1680,4,8,Crawfor,1915,1976,2008,3,TA,Norm,7,177000
9571,1276,3,5,Edwards,1958,1958,2009,6,TA,Norm,3,60000
34650,1056,3,5,Gilbert,1955,1955,2006,1,TA,Norm,5,145000
8899,1340,3,6,Gilbert,2007,2007,2007,8,Gd,Norm,5,181134
22420,2624,4,10,Crawfor,1918,1950,2007,11,TA,Feedr,6,239000
8160,1134,3,7,Edwards,1940,1950,2007,4,TA,Norm,6,126000
6762,1208,2,6,CollgCr,2007,2007,2007,9,Gd,Norm,5,195400
1680,987,2,4,BrDale,1971,1971,2008,7,TA,Norm,5,85400
1920,1365,2,6,BrDale,1971,1971,2007,8,TA,Norm,5,122500
10839,1604,3,7,Gilbert,1997,1998,2008,7,TA,Norm,5,181000
10667,1661,3,6,CollgCr,1996,1996,2009,4,Gd,PosN,6,212000
6000,904,2,4,BrkSide,1926,2004,2009,1,TA,Norm,7,119000
4280,694,2,4,Crawfor,1913,2002,2007,3,Gd,Norm,6,90350
12354,1196,3,7,Edwards,1920,2000,2009,8,Gd,Norm,8,110000
12108,1440,4,8,Edwards,1955,1955,2008,9,Fa,Norm,4,118000
6240,1573,3,8,BrkSide,1930,1992,2008,6,TA,Norm,7,162900
3922,1258,2,6,Blmngtn,2006,2007,2007,6,Gd,Norm,5,172500
8750,1908,4,8,CollgCr,1994,1995,2008,7,Gd,Norm,5,210000
9855,1689,3,7,Edwards,1956,1956,2009,11,TA,Norm,5,127500
11214,1886,4,10,Gilbert,1998,1999,2006,7,Gd,Norm,5,199900
8600,1376,3,7,IDOTRR,1937,1950,2006,6,TA,Norm,6,119500
70761,1533,2,5,ClearCr,1975,1975,2006,12,Gd,Norm,5,280000
53227,1663,2,6,ClearCr,1954,1994,2008,3,Gd,Norm,6,256000
7015,1203,3,5,BrkSide,1950,1950,2009,7,Gd,Norm,4,110000
11988,1660,3,6,Crawfor,1934,1995,2008,8,TA,Norm,7,188700
8430,1040,3,5,CollgCr,1978,1978,2009,8,TA,Norm,5,124000
3072,1414,2,6,Blmngtn,2004,2004,2006,5,Gd,Norm,5,178740
3675,1072,2,5,Edwards,2005,2005,2008,6,TA,Norm,5,148000
13125,1493,3,7,CollgCr,1997,1998,2008,4,Gd,Norm,5,208900
10637,1718,3,7,CollgCr,2007,2008,2009,9,Gd,Norm,5,297000
15578,1456,3,8,Gilbert,2006,2006,2006,5,TA,Norm,5,172785
7879,720,2,4,IDOTRR,1920,1950,2009,11,TA,Norm,5,34900
9120,1820,4,8,BrkSide,1925,1950,2008,6,TA,Norm,6,184000
1890,1218,3,7,BrDale,1973,1973,2007,5,TA,Norm,5,113000
9170,1214,2,6,Edwards,1965,1965,2007,4,TA,Feedr,7,140000
15602,1801,1,6,Crawfor,1959,1997,2010,3,TA,Norm,8,289000
10594,789,2,5,Crawfor,1926,1950,2007,6,TA,Norm,5,96500
9531,1796,3,7,CollgCr,1998,1998,2007,5,TA,Norm,5,211000
10918,2080,3,9,Crawfor,1926,2004,2009,6,Gd,Norm,9,234000
5000,1664,3,7,BrkSide,1947,1950,2006,10,TA,Feedr,7,159000
40094,4676,3,11,Edwards,2007,2008,2007,10,Ex,PosN,5,184750
9098,605,2,5,Edwards,1920,2002,2007,7,TA,Norm,7,86000
32668,2515,4,9,Crawfor,1957,1975,2007,3,TA,Norm,3,200624
6155,1362,3,6,BrkSide,1920,1999,2008,6,TA,RRNn,8,128000
5000,334,1,2,BrkSide,1946,1950,2007,1,Fa,Norm,3,39300
9056,1414,3,6,Gilbert,2004,2004,2006,10,Gd,Norm,5,178000
7000,1347,3,5,Edwards,1910,1991,2008,1,TA,Norm,7,107500
8924,1724,3,8,CollgCr,1998,1999,2008,7,Gd,Norm,5,188000
11423,1601,3,6,CollgCr,2001,2002,2010,5,Gd,Norm,5,272000
17104,1496,3,7,Gilbert,2006,2006,2006,9,Gd,Norm,5,179665
8737,1635,3,6,BrkSide,1923,1950,2007,5,TA,Norm,7,210000
8777,1126,2,5,Edwards,1949,2003,2009,5,Gd,Feedr,5,108000
6380,1048,2,5,BrkSide,1922,1950,2006,8,TA,Norm,6,113000
11040,1336,3,7,IDOTRR,1920,1950,2006,9,TA,Norm,6,108000
21872,1446,3,6,Gilbert,1996,1997,2008,8,TA,Norm,5,175000
3196,1557,2,7,Blmngtn,2003,2004,2006,10,Gd,Norm,5,234000
13907,996,3,6,Edwards,1940,1969,2008,7,TA,Norm,6,108000
21780,1674,4,8,Edwards,1918,1950,2008,7,TA,Norm,7,185000
9967,1430,3,8,Gilbert,2000,2000,2007,12,TA,Norm,5,170000
11841,816,3,5,Edwards,1990,1990,2007,5,TA,Norm,5,118500
6120,1573,3,6,BrkSide,1935,1995,2009,7,Gd,Norm,7,133000
10267,838,2,5,BrkSide,1918,2000,2008,5,Fa,RRAn,7,130000
25095,1473,1,5,ClearCr,1968,2003,2009,6,Ex,Norm,8,143000
9100,935,2,4,BrkSide,1930,1960,2008,8,TA,RRAn,6,79500
8320,1582,3,6,CollgCr,2004,2004,2008,9,Gd,Norm,5,185900
4435,848,1,4,CollgCr,2003,2003,2009,5,Gd,Norm,5,140000
7990,924,3,5,CollgCr,1975,1975,2008,4,TA,Norm,6,110000
3922,1402,2,7,Blmngtn,2006,2007,2007,2,Gd,Norm,5,194201
12984,1647,3,7,Crawfor,1977,1977,2006,3,Gd,Norm,6,217500
1950,1556,3,6,Blueste,1980,1980,2008,7,TA,Norm,6,151000
9000,1375,3,6,IDOTRR,1937,1950,2007,12,Gd,Norm,6,141000
12803,1494,3,6,CollgCr,2002,2002,2008,9,Gd,Norm,5,221000
12464,1040,3,6,CollgCr,1996,1996,2009,11,Gd,Norm,5,152000
7800,2008,3,8,Edwards,1948,2002,2006,8,Ex,Norm,8,225000
12168,3194,4,10,Crawfor,1934,1998,2007,9,TA,Norm,6,359100
11050,2153,3,8,CollgCr,2000,2000,2009,5,Ex,PosN,5,313000
11885,1872,3,7,CollgCr,2001,2001,2009,11,Ex,Norm,5,261500
7861,1509,3,7,Gilbert,2002,2003,2006,6,Gd,Norm,5,183200
8248,864,2,5,Edwards,1914,1950,2008,9,TA,Norm,3,67000
6120,800,1,4,BrkSide,1936,1950,2009,1,Fa,Norm,3,60000
8777,796,2,4,Edwards,1910,1950,2008,5,TA,Feedr,7,85000
3982,1567,1,7,Blmngtn,2006,2006,2006,10,Ex,Norm,5,264561
10452,1094,3,5,Edwards,1953,1953,2008,6,TA,Norm,5,155000
9084,1510,4,7,Edwards,1940,1950,2009,10,TA,Artery,5,108000
8750,1716,2,7,CollgCr,1996,1996,2009,7,Gd,Norm,5,191000
10320,1469,3,7,IDOTRR,1906,1995,2008,6,TA,Norm,7,135000
1680,1092,3,6,BrDale,1971,1971,2010,3,TA,Norm,5,88000
7200,1502,3,6,Crawfor,1931,2000,2008,2,TA,Norm,6,149000
9937,1486,3,7,Edwards,1964,1999,2009,3,TA,Norm,7,167000
10012,1181,3,6,Edwards,1972,1972,2008,4,TA,Norm,5,137500
11194,1936,3,7,Gilbert,2000,2000,2006,11,Gd,Norm,5,230500
11600,1180,2,5,Crawfor,1922,1950,2006,7,Fa,Norm,5,137500
8633,1476,3,7,CollgCr,2005,2005,2009,2,Gd,Norm,5,173500
6629,1369,3,6,Edwards,1925,1950,2009,7,TA,Artery,6,103600
14442,1839,3,7,Crawfor,1957,2004,2007,6,Gd,Norm,7,257500
2887,1291,2,6,ClearCr,1996,1997,2008,11,Gd,Norm,5,173000
11248,1668,3,7,CollgCr,2002,2002,2007,7,Gd,Norm,5,285000
4426,848,1,3,CollgCr,2004,2004,2008,5,Gd,Norm,5,141000
6120,1539,3,5,BrkSide,1936,1950,2009,4,TA,Norm,6,141500
6000,616,2,4,BrkSide,1921,1950,2006,6,TA,Norm,7,89000
6420,1148,2,6,Edwards,1952,1952,2006,9,TA,Norm,7,123500
8400,1484,3,7,CollgCr,2004,2005,2010,5,Gd,Norm,5,213000
5600,1092,3,7,IDOTRR,1930,1950,2010,7,Fa,Norm,5,55000
115149,1824,2,5,ClearCr,1971,2002,2007,6,Gd,Norm,5,302000
9018,1456,3,8,Gilbert,2007,2007,2007,7,Gd,Norm,5,179540
4130,729,2,5,BrkSide,1935,2003,2008,7,TA,Norm,6,52000
8712,1178,2,7,IDOTRR,1900,1950,2010,1,TA,Norm,7,102776
9873,960,3,6,BrkSide,1970,1970,2006,5,TA,RRAn,5,129000
9920,971,3,5,CollgCr,1969,1969,2006,5,TA,Norm,6,128500
4426,848,1,3,CollgCr,2004,2004,2010,5,Gd,Norm,5,143000
8172,1470,4,7,Edwards,1954,1972,2008,5,TA,Norm,6,135000
13286,1698,3,8,Edwards,2007,2008,2009,2,Ex,Norm,5,320000
21695,1680,3,5,Crawfor,1988,2007,2009,12,Gd,Norm,9,222000
7314,1232,2,6,CollgCr,2007,2007,2009,2,Gd,Norm,5,194500
6240,1208,2,5,IDOTRR,1925,1950,2009,1,TA,Norm,5,103000
11404,2031,3,8,CollgCr,1998,1999,2008,7,Gd,Norm,5,222500
10463,1801,3,8,Gilbert,2005,2005,2006,6,Gd,Norm,5,239900
10800,1200,3,5,Edwards,1987,1988,2009,3,TA,Norm,5,179000
9313,1728,3,7,CollgCr,2004,2004,2009,4,Gd,Norm,5,190000
8795,2256,4,8,Gilbert,2000,2000,2009,4,Gd,Norm,5,236000
8405,1529,4,9,Edwards,1945,1950,2009,4,TA,Norm,3,98000
7750,1320,3,6,Gilbert,2003,2003,2007,8,Gd,RRAn,5,162000
9236,1494,3,6,CollgCr,1997,1997,2006,7,Gd,Norm,5,217000
10769,1768,3,7,CollgCr,2007,2007,2009,4,Gd,Norm,5,212000
6911,1301,2,5,BrkSide,1924,1950,2009,10,Fa,Feedr,5,100000
9100,1836,3,8,CollgCr,2004,2005,2006,10,Gd,Norm,5,216837
8877,1220,2,6,Edwards,1951,1951,2006,4,TA,Norm,5,102000
7819,1117,3,6,Edwards,1976,1976,2010,3,TA,Norm,5,107000
11210,1614,3,7,CollgCr,2005,2006,2006,7,Gd,Norm,5,221500
7875,1253,3,6,Gilbert,1995,1996,2007,6,TA,Norm,5,176000
16285,1430,3,6,CollgCr,2001,2002,2009,6,Gd,Norm,5,187100
12205,2087,5,9,ClearCr,1966,2007,2007,7,Gd,Norm,8,187500
3182,1145,2,5,Blmngtn,2005,2006,2009,9,Gd,Norm,5,160200
10832,1895,3,7,Gilbert,1994,1996,2008,10,Gd,Norm,5,194500
12798,1688,4,8,ClearCr,1997,1997,2008,5,Gd,Feedr,5,200000
4800,1196,2,5,IDOTRR,1916,1990,2007,7,TA,Norm,7,109900
8199,1456,3,7,CollgCr,2005,2005,2008,10,Gd,Norm,5,189000
21384,1576,3,6,BrkSide,1923,2004,2009,5,Gd,Norm,6,223500
4438,848,1,4,CollgCr,2004,2004,2008,6,Gd,Norm,5,144500
8712,1044,2,4,IDOTRR,1952,1952,2010,6,Fa,Norm,5,55993
8248,1250,3,7,Edwards,1918,1950,2006,7,Fa,Norm,7,116000
12137,1661,3,6,CollgCr,1998,1998,2010,5,Gd,Norm,5,224900
8816,1052,3,6,ClearCr,1971,1971,2010,6,TA,Norm,7,155000
7226,1640,3,6,CollgCr,2003,2003,2008,6,Gd,Norm,5,183000
12394,1733,3,7,Gilbert,2003,2003,2007,10,Gd,Norm,5,225000
6130,784,2,5,BrkSide,1924,1950,2008,5,Gd,Norm,6,109500
28698,2126,3,7,ClearCr,1967,1967,2009,6,TA,Norm,5,185000
9548,1829,3,7,CollgCr,2003,2003,2010,1,Gd,Norm,6,237000
1680,987,2,5,BrDale,1973,1973,2008,11,TA,Norm,5,100000
9525,1099,3,6,CollgCr,1995,2006,2008,6,Gd,Norm,6,144000
11767,1200,3,6,Edwards,1946,1995,2008,5,TA,Norm,6,130500
15523,864,3,5,CollgCr,1972,1972,2009,8,TA,Norm,6,133500
45600,2358,5,10,ClearCr,1908,1997,2008,9,TA,Norm,8,240000
4435,848,1,3,CollgCr,2003,2003,2007,11,Gd,Norm,5,131500
3196,1456,2,7,Blmngtn,2003,2003,2006,5,Gd,Norm,5,215000
7128,1646,4,7,Crawfor,1941,1950,2007,8,TA,Norm,5,164000
10970,1026,3,5,CollgCr,1978,1978,2008,10,TA,Norm,6,147000
8125,1481,3,6,Gilbert,1994,1995,2009,3,TA,Norm,5,174000
7642,1426,3,7,Crawfor,1918,1998,2007,6,Gd,Norm,8,189950
14762,2320,2,7,Gilbert,1948,1950,2006,5,TA,Feedr,6,169000
8750,1682,3,7,CollgCr,1998,1998,2010,6,Gd,Norm,5,200500
7000,864,3,6,CollgCr,1978,2005,2009,7,TA,Norm,8,136500
7024,1090,2,5,Edwards,2005,2006,2007,6,TA,Norm,5,157000
9636,1593,3,7,Gilbert,1992,1993,2009,12,TA,Norm,5,178000
16466,1393,3,8,Edwards,1955,1955,2008,4,TA,Norm,7,135500
8765,951,2,6,IDOTRR,1936,1950,2006,4,TA,Norm,6,106500
7875,1509,3,8,Gilbert,2003,2003,2006,7,Gd,Norm,5,180000
14859,1670,3,7,Gilbert,2006,2006,2006,8,Gd,Norm,5,240000
11500,2057,3,6,Crawfor,1936,1987,2006,6,Gd,Norm,7,250000
12589,1484,3,8,Gilbert,2005,2005,2009,6,Gd,Norm,5,174000
9286,1268,3,5,CollgCr,1977,1989,2009,10,Gd,Norm,7,143500
6120,1015,3,6,BrkSide,1925,1950,2006,7,TA,Norm,7,88000
6270,2002,4,8,Crawfor,1949,1950,2007,8,TA,Norm,6,145000
9000,480,1,4,IDOTRR,1949,1950,2006,10,TA,Norm,3,35311
17140,1229,3,6,Edwards,1956,1956,2009,4,TA,Norm,6,135000
8777,2200,4,9,Edwards,1900,2003,2008,9,TA,Feedr,7,145900
10237,1316,3,6,Gilbert,2005,2006,2006,10,Gd,RRAn,5,169990
11838,1788,3,7,CollgCr,2001,2001,2009,6,Ex,Norm,5,236500
13006,2236,4,8,Gilbert,1997,1997,2006,11,Gd,Norm,5,222000
8487,1500,3,6,CollgCr,2004,2004,2009,8,Gd,Norm,5,190000
5825,747,1,5,BrkSide,1926,1953,2006,6,TA,Norm,5,79900
8760,1962,3,7,CollgCr,2006,2006,2006,8,Gd,Norm,5,239799
24090,2403,4,10,ClearCr,1940,1950,2010,6,TA,Norm,7,244400
8755,2060,3,8,Gilbert,1999,1999,2009,6,Gd,RRNn,5,214000
7711,1440,4,8,Edwards,1977,1977,2007,8,TA,Norm,3,150000
14006,1776,3,7,CollgCr,2002,2002,2006,2,Gd,Norm,5,192500
7200,768,2,5,CollgCr,1972,2003,2009,4,TA,Norm,8,133900
9400,980,4,4,Edwards,1975,1975,2006,10,TA,Norm,5,127500
7136,1958,4,8,Crawfor,1946,1950,2007,8,TA,Norm,6,145000
1300,1229,2,5,Blueste,1980,1980,2009,5,TA,Norm,6,124000
8450,1337,3,6,CollgCr,2003,2003,2007,10,Gd,Norm,5,185000
7207,858,2,4,BrkSide,1958,2008,2010,2,TA,Norm,7,116500
11923,1800,2,7,CollgCr,2007,2007,2009,5,Ex,Norm,5,239000
10237,1484,3,8,Gilbert,2005,2007,2007,7,Gd,RRAn,5,178900
